id,issn_l
https://openalex.org/W1979430800,0007-6791
https://openalex.org/W2035574776,0950-3471
https://openalex.org/W2121722232,0172-6404
https://openalex.org/W2137031429,0950-3471
https://openalex.org/W2029823802,0307-1022
https://openalex.org/W2091642955,0950-3471
https://openalex.org/W2004877893,0003-0554
https://openalex.org/W1648937643,0013-0133
https://openalex.org/W1556513643,0002-8282
https://openalex.org/W1991418004,0002-8282
https://openalex.org/W1522598817,1573-4463
https://openalex.org/W1549059388,0002-8282
https://openalex.org/W1758542899,0167-2681
https://openalex.org/W1536128219,0002-8282
https://openalex.org/W1992415142,0033-5533
https://openalex.org/W1992333423,0734-306X
https://openalex.org/W1503397861,0002-8282
https://openalex.org/W1978385790,0022-3808
https://openalex.org/W2973504502,0009-4978
https://openalex.org/W4251157942,0002-8762
https://openalex.org/W2764643822,0020-2754
https://openalex.org/W568481564,0952-8385
https://openalex.org/W1518267314,0020-4277
https://openalex.org/W1987965558,0098-7484
https://openalex.org/W2023921824,1059-6011
https://openalex.org/W4231585949,0700-3862
https://openalex.org/W1510535021,0022-166X
https://openalex.org/W4299406787,0002-8762
https://openalex.org/W2801847313,0952-8385
https://openalex.org/W3124432634,0013-0117
https://openalex.org/W4251136374,0013-0117
https://openalex.org/W4302406807,0959-5341
https://openalex.org/W2796767401,0952-8385
https://openalex.org/W4247872308,0013-0117
https://openalex.org/W4235412864,0013-0117
https://openalex.org/W4253783017,0013-0117
https://openalex.org/W4249227697,0013-0117
https://openalex.org/W2569755048,0002-8762
https://openalex.org/W4254175480,0013-0117
https://openalex.org/W4234441114,0013-0117
https://openalex.org/W4256384552,0031-2746
https://openalex.org/W2036910311,0013-0427
https://openalex.org/W2339740280,0094-3061
https://openalex.org/W2146006411,0022-3514
https://openalex.org/W3123223998,0002-8282
https://openalex.org/W4299951319,0037-7732
https://openalex.org/W2041071620,0022-3808
https://openalex.org/W3122425091,1573-4463
https://openalex.org/W2067516326,0019-7939
https://openalex.org/W3125708679,0002-8282
https://openalex.org/W2069904071,0895-3309
https://openalex.org/W2068780965,0030-851X
https://openalex.org/W2121999767,0002-8282
https://openalex.org/W3121853310,0022-0515
https://openalex.org/W110963011,0009-4978
https://openalex.org/W2316153770,0003-1224
https://openalex.org/W2152001004,0176-1714
https://openalex.org/W3002922038,1556-5068
https://openalex.org/W3121699304,0022-2186
https://openalex.org/W2079229005,1935-1704
https://openalex.org/W2142550658,0022-0531
https://openalex.org/W2060612256,0022-3611
https://openalex.org/W4241891324,0002-9556
https://openalex.org/W2021989258,0022-0531
https://openalex.org/W2103909532,0176-1714
https://openalex.org/W2095567645,0022-0531
https://openalex.org/W2061546065,0022-0531
https://openalex.org/W2167916236,1069-9384
https://openalex.org/W2029243345,0895-5638
https://openalex.org/W2066442099,0048-5829
https://openalex.org/W2138621916,0022-0531
https://openalex.org/W2122533453,0022-0531
https://openalex.org/W1997618208,0176-1714
https://openalex.org/W1967081648,0196-8858
https://openalex.org/W2151642490,0176-1714
https://openalex.org/W2138160287,0749-5978
https://openalex.org/W2095676952,0022-0531
https://openalex.org/W2032627296,0176-1714
https://openalex.org/W2120349495,1574-0110
https://openalex.org/W1491421378,1373-8496
https://openalex.org/W2137511816,0019-7939
https://openalex.org/W2141601439,1545-2921
https://openalex.org/W2172145754,1556-5068
https://openalex.org/W2002050008,0021-8723
https://openalex.org/W1975617599,0364-765X
https://openalex.org/W4230054408,0002-8762
https://openalex.org/W2112418544,0165-4896
https://openalex.org/W2162359459,0266-2671
https://openalex.org/W2074730872,0165-4896
https://openalex.org/W2237560775,0013-0117
https://openalex.org/W2028762057,0013-0117
https://openalex.org/W2281840052,1071-1031
https://openalex.org/W2018189500,0012-9682
https://openalex.org/W2084702601,0895-4801
https://openalex.org/W1992984785,0020-7276
https://openalex.org/W2074418535,0034-6527
https://openalex.org/W2021643626,0165-4896
https://openalex.org/W2077681802,0022-0531
https://openalex.org/W3122990377,0022-0531
https://openalex.org/W2042142130,0033-5533
https://openalex.org/W2127100060,0014-4983
https://openalex.org/W1983410770,0012-9682
https://openalex.org/W2091954458,0013-0117
https://openalex.org/W2321586518,0002-8762
https://openalex.org/W2014243814,0165-4896
https://openalex.org/W2111418984,1434-4742
https://openalex.org/W2162278657,0364-765X
https://openalex.org/W2105478153,0022-0531
https://openalex.org/W2044692536,0176-1714
https://openalex.org/W2071682324,0004-8992
https://openalex.org/W1969233369,0013-0117
https://openalex.org/W2128259019,0022-0507
https://openalex.org/W1995530198,0007-6805
https://openalex.org/W3125996151,0741-6261
https://openalex.org/W2114873067,0022-0507
https://openalex.org/W1979630032,0040-4969
https://openalex.org/W1988974577,1434-4742
https://openalex.org/W1985089376,0219-1989
https://openalex.org/W2019385807,0219-1989
https://openalex.org/W1499559474,0018-280X
https://openalex.org/W2320958880,1349-807X
https://openalex.org/W1974065322,0093-5301
https://openalex.org/W2125634133,0066-4308
https://openalex.org/W2136360414,0033-362X
https://openalex.org/W2131808999,0093-5301
https://openalex.org/W1977455881,0094-3061
https://openalex.org/W2127977749,1094-4281
https://openalex.org/W2057128234,0022-3514
https://openalex.org/W2027883876,0093-5301
https://openalex.org/W2085187045,0093-5301
https://openalex.org/W2006487427,0092-0703
https://openalex.org/W2093623550,0093-5301
https://openalex.org/W2029486670,0022-3514
https://openalex.org/W1576782956,0009-4978
https://openalex.org/W2080769151,0022-3514
https://openalex.org/W2061513961,0008-1256
https://openalex.org/W2334691612,0022-2437
https://openalex.org/W188060240,0065-2601
https://openalex.org/W2118464615,0093-5301
https://openalex.org/W2167013595,0093-5301
https://openalex.org/W2123937522,0022-3514
https://openalex.org/W2136598019,0093-5301
https://openalex.org/W1967436996,0093-5301
https://openalex.org/W2130387053,0022-3514
https://openalex.org/W2023678386,1094-9968
https://openalex.org/W3121833435,0264-9993
https://openalex.org/W2069441823,0278-016X
https://openalex.org/W2021821801,0093-5301
https://openalex.org/W1485184612,0009-4978
https://openalex.org/W2075851507,0022-0507
https://openalex.org/W2031456339,0022-3514
https://openalex.org/W2053153452,1361-9462
https://openalex.org/W2032101573,0013-0117
https://openalex.org/W1994407614,0013-8266
https://openalex.org/W1544494348,0009-4978
https://openalex.org/W2100242390,0013-0117
https://openalex.org/W2582743722,1473-4869
https://openalex.org/W4214907476,0065-2601
https://openalex.org/W3124394317,0093-5301
https://openalex.org/W2149076733,0094-3061
https://openalex.org/W4211068185,0093-5301
https://openalex.org/W2047666674,0002-9602
https://openalex.org/W2137040040,0160-7383
https://openalex.org/W4376597321,0009-4978
https://openalex.org/W4298376317,0037-7732
https://openalex.org/W2044352597,0261-5177
https://openalex.org/W2025739588,0261-5177
https://openalex.org/W2073211193,0038-0385
https://openalex.org/W2063413703,0261-5177
https://openalex.org/W1967152225,0093-5301
https://openalex.org/W3124373629,0022-2429
https://openalex.org/W4238722264,0022-3514
https://openalex.org/W2139091992,0093-5301
https://openalex.org/W1998131986,0160-7383
https://openalex.org/W2045844751,0093-5301
https://openalex.org/W2014061012,0261-5177
https://openalex.org/W2037746709,0160-7383
https://openalex.org/W2090206531,0160-7383
https://openalex.org/W2327296660,0022-2429
https://openalex.org/W3123148442,0022-2380
https://openalex.org/W2312686528,0024-094X
https://openalex.org/W87492321,0160-7383
https://openalex.org/W211709846,0304-4009
https://openalex.org/W132680968,0160-7383
https://openalex.org/W2046670937,0160-7383
https://openalex.org/W1997705028,0022-2437
https://openalex.org/W55908047,0160-7383
https://openalex.org/W1625666123,0160-7383
https://openalex.org/W4239919430,0094-3061
https://openalex.org/W1972216508,0093-5301
https://openalex.org/W2094352465,0966-9582
https://openalex.org/W2122489602,0261-5177
https://openalex.org/W109997452,0160-7383
https://openalex.org/W2324468588,0767-3701
https://openalex.org/W2283485685,0736-3761
https://openalex.org/W1483679835,1389-6903
https://openalex.org/W1488837022,0014-7214
https://openalex.org/W2089457241,0033-295X
https://openalex.org/W2076763018,0022-3514
https://openalex.org/W1999524192,0093-5301
https://openalex.org/W3125283999,0022-1031
https://openalex.org/W2054788835,0022-3891
https://openalex.org/W2126302787,0894-3257
https://openalex.org/W2012133959,0093-5301
https://openalex.org/W2007576031,1057-7408
https://openalex.org/W2053638530,0093-5301
https://openalex.org/W2047860167,0022-2437
https://openalex.org/W2119647950,0022-3514
https://openalex.org/W2085126443,0022-3514
https://openalex.org/W2105037366,0022-2437
https://openalex.org/W3125477593,0022-2437
https://openalex.org/W2104247356,0093-5301
https://openalex.org/W2072643697,0046-2772
https://openalex.org/W2043070498,0093-5301
https://openalex.org/W2059329554,0022-2437
https://openalex.org/W2122666470,0093-5301
https://openalex.org/W3123584713,0278-7393
https://openalex.org/W3124713774,0022-2437
https://openalex.org/W3125727143,0093-5301
https://openalex.org/W2074805932,0022-3514
https://openalex.org/W2155378746,0732-2399
https://openalex.org/W2315697089,0022-2437
https://openalex.org/W2032255348,0093-5301
https://openalex.org/W2127797624,0093-5301
https://openalex.org/W2030299881,0749-5978
https://openalex.org/W2096520900,0092-5853
https://openalex.org/W3124122148,0093-5301
https://openalex.org/W2028344773,0093-5301
https://openalex.org/W2212235111,0022-2437
https://openalex.org/W2126675999,0276-1467
https://openalex.org/W2129683988,0093-5301
https://openalex.org/W2041515655,0022-2437
https://openalex.org/W3125751140,1057-7408
https://openalex.org/W1981241179,1057-7408
https://openalex.org/W2131942372,0732-2399
https://openalex.org/W2156966264,0093-5301
https://openalex.org/W1979907230,0022-2429
https://openalex.org/W2171602877,0022-3514
https://openalex.org/W1983084915,0021-9398
https://openalex.org/W1988487435,0022-2437
https://openalex.org/W1996137064,0956-4233
https://openalex.org/W1974079459,0733-558X
https://openalex.org/W2040384293,0022-4359
https://openalex.org/W1990168101,0261-5177
https://openalex.org/W3006177916,0009-4978
https://openalex.org/W2165049547,0148-2963
https://openalex.org/W1963804871,0261-5177
https://openalex.org/W2144439254,0001-4273
https://openalex.org/W2033172111,0001-8392
https://openalex.org/W2078782279,0148-2963
https://openalex.org/W2018956482,0001-8392
https://openalex.org/W2080440962,0894-3796
https://openalex.org/W1996051380,0022-4359
https://openalex.org/W2024166143,0363-7425
https://openalex.org/W2162644945,0278-4319
https://openalex.org/W1977242238,0191-3085
https://openalex.org/W1998620261,0749-5978
https://openalex.org/W2169950931,0022-1031
https://openalex.org/W2062216209,0019-8501
https://openalex.org/W2045745167,0092-0703
https://openalex.org/W2147725405,0092-0703
https://openalex.org/W2118269528,1096-3480
https://openalex.org/W1992311152,0021-9029
https://openalex.org/W2148799739,1094-6705
https://openalex.org/W2082452969,0022-1031
https://openalex.org/W1966157362,0021-9010
https://openalex.org/W1990737353,0278-4319
https://openalex.org/W2002119303,0047-2506
https://openalex.org/W2161518403,0046-2772
https://openalex.org/W2069914145,1096-3480
https://openalex.org/W1999293383,0021-9010
https://openalex.org/W2063309966,0147-7307
https://openalex.org/W2072990017,0022-1031
https://openalex.org/W2021207964,1046-1310
https://openalex.org/W2499805902,0733-558X
https://openalex.org/W4238483310,0022-2429
https://openalex.org/W1489956968,1556-5068
https://openalex.org/W4231536446,0022-2437
https://openalex.org/W1491257503,0002-8282
https://openalex.org/W2004482417,0042-0980
https://openalex.org/W3121277531,1094-6705
https://openalex.org/W4256444703,0001-8392
https://openalex.org/W2000812326,0143-005X
https://openalex.org/W1487260846,1556-5068
https://openalex.org/W4252050463,0022-3514
https://openalex.org/W1988475427,0957-8811
https://openalex.org/W4234628284,0363-7425
https://openalex.org/W4251793644,0363-7425
https://openalex.org/W1984460943,0959-3969
https://openalex.org/W1970039173,0308-518X
https://openalex.org/W2018825756,0002-9092
https://openalex.org/W2029691588,0308-518X
https://openalex.org/W1969038640,0304-405X
https://openalex.org/W2019807380,0308-518X
https://openalex.org/W2009707808,0965-254X
https://openalex.org/W1945872183,0013-0095
https://openalex.org/W1916282533,0013-0095
https://openalex.org/W2028392767,0308-518X
https://openalex.org/W2008272397,0040-747X
https://openalex.org/W2011371034,0267-257X
https://openalex.org/W2017526804,0308-518X
https://openalex.org/W1973742642,0016-7363
https://openalex.org/W2020678077,0013-0095
https://openalex.org/W1981727878,1468-2702
https://openalex.org/W2031547811,0959-3969
https://openalex.org/W1975043470,1535-6841
https://openalex.org/W1572032753,0889-938X
https://openalex.org/W1989842126,0889-048X
https://openalex.org/W1535257555,0308-518X
https://openalex.org/W1980093434,0040-747X
https://openalex.org/W1965151136,0959-3969
https://openalex.org/W2015958240,0742-4477
https://openalex.org/W1994498744,0954-0962
https://openalex.org/W2023884270,0007-070X
https://openalex.org/W2003896674,1078-1196
https://openalex.org/W2142202529,0022-1082
https://openalex.org/W2125197120,0308-518X
https://openalex.org/W3121156466,1078-1196
https://openalex.org/W2766606561,1935-1704
https://openalex.org/W2328023625,0040-165X
https://openalex.org/W2051322354,0309-1325
https://openalex.org/W3123015801,1468-2702
https://openalex.org/W3121568842,0309-1325
https://openalex.org/W2155976876,0169-5150
https://openalex.org/W2047967494,0309-1317
https://openalex.org/W2796683695,0035-9254
https://openalex.org/W2149078107,0022-2429
https://openalex.org/W2124621825,1078-1196
https://openalex.org/W2061718333,0265-1335
https://openalex.org/W2314944333,0016-7398
https://openalex.org/W2121623397,0148-2963
https://openalex.org/W2037201638,0309-0566
https://openalex.org/W2149881567,0308-518X
https://openalex.org/W2132156517,1468-2702
https://openalex.org/W2121055081,0048-5829
https://openalex.org/W2122928087,0042-0980
https://openalex.org/W2085232542,0959-0552
https://openalex.org/W2131684289,0969-7764
https://openalex.org/W2088426616,0959-3969
https://openalex.org/W2128663034,0129-7619
https://openalex.org/W2129715086,0951-5224
https://openalex.org/W2155101510,1468-2702
https://openalex.org/W2055189634,0959-0552
https://openalex.org/W2067294408,0308-518X
https://openalex.org/W2072845729,0264-2069
https://openalex.org/W2168551120,1468-2702
https://openalex.org/W3123457203,0003-603X
https://openalex.org/W3124025048,0013-0095
https://openalex.org/W2056398627,0959-0552
https://openalex.org/W2086829776,0743-9156
https://openalex.org/W2154724954,1468-2702
https://openalex.org/W2097737689,1468-2702
https://openalex.org/W2167559421,0308-518X
https://openalex.org/W2161099284,0264-2069
https://openalex.org/W2119377382,0742-4477
https://openalex.org/W2060020939,0034-3404
https://openalex.org/W2068361705,0308-518X
https://openalex.org/W2048872854,0308-518X
https://openalex.org/W2166279392,0047-245X
https://openalex.org/W2146229641,0308-518X
https://openalex.org/W2122492824,0034-3404
https://openalex.org/W1980406593,0033-3298
https://openalex.org/W2050698050,0001-4273
https://openalex.org/W1566447476,0363-7425
https://openalex.org/W2073840323,0034-7590
https://openalex.org/W2018037152,0092-055X
https://openalex.org/W2069744033,0001-8392
